speaker_id,prompt_style_id,sentence_id,cr_mean_wavlm,rr_mean_wavlm,ci_mean_wavlm,cr_rr_ratio,auc_wavlm,eer_wavlm,cr_median_wer,count_cr,count_rr,count_ci
211,,,nan,0.928709,nan,nan,nan,nan,nan,0,60,180
211,P1,3,0.898351,0.928709,0.868740,0.967311,0.697531,0.305556,0.813095,9,60,18
211,P2,7,0.907118,0.928709,0.855195,0.976751,0.876543,0.166667,0.950961,9,60,18
211,P2,6,0.878170,0.928709,0.854717,0.945581,0.629630,0.500000,0.814322,9,60,18
211,P1,5,0.901126,0.928709,0.850773,0.970299,0.833333,0.305556,0.945907,9,60,18
4014,P1,3,0.888135,0.914656,0.882299,0.971004,0.574074,0.333333,0.838074,9,60,18
4014,P1,5,0.886495,0.914656,0.861946,0.969211,0.783951,0.416667,0.848740,9,60,18
4014,P2,7,0.881103,0.914656,0.854065,0.963316,0.839506,0.166667,0.855487,9,60,18
4014,P2,6,0.870888,0.914656,0.838454,0.952149,0.833333,0.166667,0.714853,9,60,18
4014,P2,9,0.827505,0.914656,0.837950,0.904717,0.382716,0.638889,0.770109,9,60,18
730,P1,3,0.887259,0.899448,0.874226,0.986449,0.625000,0.291667,0.941525,6,40,12
730,P1,5,0.896317,0.899448,0.862306,0.996520,0.958333,0.166667,0.931908,6,40,12
730,P1,1,0.837335,0.899448,0.859838,0.930943,0.263889,0.583333,0.870688,6,40,12
730,P1,4,0.831316,0.899448,0.857808,0.924251,0.291667,0.625000,0.889787,6,40,12
730,P2,8,0.869063,0.899448,0.857044,0.966219,0.708333,0.375000,0.916836,6,40,12
